seller-product-id,sku,title,price,product-id,brand,category,product_link,img_link
11352540,1101320090623,Ổ Cứng SSD Samsung 860 EVO 250GB 2.5 inch SATA iii MZ-76E250BW - Hàng Nhập Khẩu,1030000,10777708,Samsung,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Ổ Cứng Gắn Trong/Ổ Cứng SSD,/o-cung-ssd-samsung-860-evo-250gb-2-5-inch-sata-iii-mz-76e250bw-hang-nhap-khau-p10777708.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/8c/79/66/406596230428d7c1b71ce728ffee795c.jpeg
25661193,5309055103632,Macbook Air 2017 MQD32 (13 inch) - Hàng Chính Hãng,18499000,721995,Apple,Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,/macbook-air-2017-mqd32-13-inch-hang-chinh-hang-p721995.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/24/1b/e9/0771b005d8b7d4547b2a5fc0012d4721.jpg
59206415,4497096717244,Màn Hình Dell SE2419HR 24 inch FullHD (1920 x 1080) 8ms 75Hz IPS AMD Radeon FreeSync - Hàng Chính Hãng,3050000,55706633,Dell,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Màn Hình Máy Tính/Màn Hình Phổ Thông,/man-hinh-dell-se2419hr-24-inch-fullhd-1920-x-1080-8ms-75hz-ips-amd-radeon-freesync-hang-chinh-hang-p55706633.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f3/46/bf/4d1be54c1969fec303b0341ef2fe0b86.jpg
53056293,3405828458427,Phần mềm Microsoft 365 Family English APAC EM Subscr 1YR Medialess P6 (6GQ-01144) - Hàng Chính Hãng,990000,53056161,Microsoft,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Phần Mềm Máy Tính,/phan-mem-microsoft-365-family-english-apac-em-subscr-1yr-medialess-p6-6gq-01144-hang-chinh-hang-p53056161.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/38/a7/cf/207b0aa48b17cd3b20e38f635a85c6c2.jpg
27943616,7504456373020,Bộ Kích Sóng Wifi Repeater 300Mbps TP-Link TL-WA850RE - Hàng Chính Hãng,255000,455445,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Bộ Kích Sóng Wifi,/bo-kich-song-wifi-repeater-300mbps-tp-link-tl-wa850re-hang-chinh-hang-p455445.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/l/tl-wa850re-eu-v1-01.jpg
120199,7507716307926,TP-Link  TL-WN722N - USB Wifi (high gain) tốc độ 150Mbps - Hàng Chính Hãng,158000,416990,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/USB Wifi,/tp-link-tl-wn722n-usb-wifi-high-gain-toc-do-150mbps-hang-chinh-hang-p416990.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/d8/7e/88/8b082f09b4786149879ac69417ad2087.jpg
702135,6700646487367,Chuột Không Dây Logitech MX Anywhere 2S Receiver USB  - Hàng Chính Hãng,1187000,702134,Logitech,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Phím Chuột Văn Phòng/Chuột Văn Phòng/Chuột Văn Phòng Không Dây,/chuot-khong-day-logitech-mx-anywhere-2s-receiver-usb-hang-chinh-hang-p702134.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/1b/39/90/06446f9c8546e8d0365cefd403866976.jpg
55901,5001720492699,Chuột Có Dây Logitech M105 - Hàng chính hãng,112000,55897,Logitech,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Phím Chuột Văn Phòng/Chuột Văn Phòng/Chuột Văn Phòng Có Dây,/chuot-co-day-logitech-m105-hang-chinh-hang-p55897.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/79/3a/fe/dacc131f76cedc409df01e36be87ff39.jpg
41167738,2403736913947,Ram PC Kingston HyperX Fury Black 8GB (1x8GB) Bus 2666 DDR4 CL16 DIMM XMP Non-ECC HX426C16FB3/8 - Hàng Chính Hãng,739000,41167737,Kingston,Laptop - Máy Vi Tính - Linh kiện/Linh Kiện Máy Tính - Phụ Kiện Máy Tính/RAM Máy Tính/RAM Desktop,/ram-pc-kingston-hyperx-fury-black-8gb-1x8gb-bus-2666-ddr4-cl16-dimm-xmp-non-ecc-hx426c16fb3-8-hang-chinh-hang-p41167737.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a6/93/48/2da3672d7da3cd61e8bc8692a066ba6c.jpg
58336976,9028918740765,"Hộp mực máy in Canon LBP 2900, 3000",105000,53704413,OEM,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi/Mực In và Toner/Drums và Toner Cho Máy In Laser,/hop-muc-may-in-canon-lbp-2900-3000-p53704413.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ef/3b/f4/5f94c0e74cd8e352ea99a5b427ee89cc.jpg
